Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
001,5.1,3.5,1.4,0.2,Iris-setosa
002,4.9,3.0,1.4,0.2,Iris-setosa
003,4.7,3.2,1.3,0.2,Iris-setosa
004,4.6,3.1,1.5,0.2,Iris-setosa
005,5.0,3.6,1.4,0.2,Iris-setosa
006,5.4,3.9,1.7,0.4,Iris-setosa
007,4.6,3.4,1.4,0.3,Iris-setosa
008,5.0,3.4,1.5,0.2,Iris-setosa
009,4.4,2.9,1.4,0.2,Iris-setosa
010,4.9,3.1,1.5,0.1,Iris-setosa
011,5.4,3.7,1.5,0.2,Iris-setosa
012,4.8,3.4,1.6,0.2,Iris-setosa
013,4.8,3.0,1.4,0.1,Iris-setosa
014,4.3,3.0,1.1,0.1,Iris-setosa
015,5.8,4.0,1.2,0.2,Iris-setosa
016,5.7,4.4,1.5,0.4,Iris-setosa
017,5.4,3.9,1.3,0.4,Iris-setosa
018,5.1,3.5,1.4,0.3,Iris-setosa
019,5.7,3.8,1.7,0.3,Iris-setosa
020,5.1,3.8,1.5,0.3,Iris-setosa
021,5.4,3.4,1.7,0.2,Iris-setosa
022,5.1,3.7,1.5,0.4,Iris-setosa
023,4.6,3.6,1.0,0.2,Iris-setosa
024,5.1,3.3,1.7,0.5,Iris-setosa
025,4.8,3.4,1.9,0.2,Iris-setosa
026,5.0,3.0,1.6,0.2,Iris-setosa
027,5.0,3.4,1.6,0.4,Iris-setosa
028,5.2,3.5,1.5,0.2,Iris-setosa
029,5.2,3.4,1.4,0.2,Iris-setosa
030,4.7,3.2,1.6,0.2,Iris-setosa
031,4.8,3.1,1.6,0.2,Iris-setosa
032,5.4,3.4,1.5,0.4,Iris-setosa
033,5.2,4.1,1.5,0.1,Iris-setosa
034,5.5,4.2,1.4,0.2,Iris-setosa
035,4.9,3.1,1.5,0.1,Iris-setosa
036,5.0,3.2,1.2,0.2,Iris-setosa
037,5.5,3.5,1.3,0.2,Iris-setosa
038,4.9,3.1,1.5,0.1,Iris-setosa
039,4.4,3.0,1.3,0.2,Iris-setosa
040,5.1,3.4,1.5,0.2,Iris-setosa
041,5.0,3.5,1.3,0.3,Iris-setosa
042,4.5,2.3,1.3,0.3,Iris-setosa
043,4.4,3.2,1.3,0.2,Iris-setosa
044,5.0,3.5,1.6,0.6,Iris-setosa
045,5.1,3.8,1.9,0.4,Iris-setosa
046,4.8,3.0,1.4,0.3,Iris-setosa
047,5.1,3.8,1.6,0.2,Iris-setosa
048,4.6,3.2,1.4,0.2,Iris-setosa
049,5.3,3.7,1.5,0.2,Iris-setosa
050,5.0,3.3,1.4,0.2,Iris-setosa
051,7.0,3.2,4.7,1.4,Iris-versicolor
052,6.4,3.2,4.5,1.5,Iris-versicolor
053,6.9,3.1,4.9,1.5,Iris-versicolor
054,5.5,2.3,4.0,1.3,Iris-versicolor
055,6.5,2.8,4.6,1.5,Iris-versicolor
056,5.7,2.8,4.5,1.3,Iris-versicolor
057,6.3,3.3,4.7,1.6,Iris-versicolor
058,4.9,2.4,3.3,1.0,Iris-versicolor
059,6.6,2.9,4.6,1.3,Iris-versicolor
060,5.2,2.7,3.9,1.4,Iris-versicolor
061,5.0,2.0,3.5,1.0,Iris-versicolor
062,5.9,3.0,4.2,1.5,Iris-versicolor
063,6.0,2.2,4.0,1.0,Iris-versicolor
064,6.1,2.9,4.7,1.4,Iris-versicolor
065,5.6,2.9,3.6,1.3,Iris-versicolor
066,6.7,3.1,4.4,1.4,Iris-versicolor
067,5.6,3.0,4.5,1.5,Iris-versicolor
068,5.8,2.7,4.1,1.0,Iris-versicolor
069,6.2,2.2,4.5,1.5,Iris-versicolor
070,5.6,2.5,3.9,1.1,Iris-versicolor
071,5.9,3.2,4.8,1.8,Iris-versicolor
072,6.1,2.8,4.0,1.3,Iris-versicolor
073,6.3,2.5,4.9,1.5,Iris-versicolor
074,6.1,2.8,4.7,1.2,Iris-versicolor
075,6.4,2.9,4.3,1.3,Iris-versicolor
076,6.6,3.0,4.4,1.4,Iris-versicolor
077,6.8,2.8,4.8,1.4,Iris-versicolor
078,6.7,3.0,5.0,1.7,Iris-versicolor
079,6.0,2.9,4.5,1.5,Iris-versicolor
080,5.7,2.6,3.5,1.0,Iris-versicolor
081,5.5,2.4,3.8,1.1,Iris-versicolor
082,5.5,2.4,3.7,1.0,Iris-versicolor
083,5.8,2.7,3.9,1.2,Iris-versicolor
084,6.0,2.7,5.1,1.6,Iris-versicolor
085,5.4,3.0,4.5,1.5,Iris-versicolor
086,6.0,3.4,4.5,1.6,Iris-versicolor
087,6.7,3.1,4.7,1.5,Iris-versicolor
088,6.3,2.3,4.4,1.3,Iris-versicolor
089,5.6,3.0,4.1,1.3,Iris-versicolor
090,5.5,2.5,4.0,1.3,Iris-versicolor
091,5.5,2.6,4.4,1.2,Iris-versicolor
