Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,SepalToPetalRatio
001,5.1,3.5,1.4,0.2,Iris-setosa,3.64
002,4.9,3.0,1.4,0.2,Iris-setosa,3.5
003,4.7,3.2,1.3,0.2,Iris-setosa,3.62
004,4.6,3.1,1.5,0.2,Iris-setosa,3.07
005,5.0,3.6,1.4,0.2,Iris-setosa,3.57
006,5.4,3.9,1.7,0.4,Iris-setosa,3.18
007,4.6,3.4,1.4,0.3,Iris-setosa,3.29
008,5.0,3.4,1.5,0.2,Iris-setosa,3.33
009,4.4,2.9,1.4,0.2,Iris-setosa,3.14
010,4.9,3.1,1.5,0.1,Iris-setosa,3.27
011,5.4,3.7,1.5,0.2,Iris-setosa,3.6
012,4.8,3.4,1.6,0.2,Iris-setosa,3.0
013,4.8,3.0,1.4,0.1,Iris-setosa,3.43
014,4.3,3.0,1.1,0.1,Iris-setosa,3.91
015,5.8,4.0,1.2,0.2,Iris-setosa,4.83
016,5.7,4.4,1.5,0.4,Iris-setosa,3.8
017,5.4,3.9,1.3,0.4,Iris-setosa,4.15
018,5.1,3.5,1.4,0.3,Iris-setosa,3.64
019,5.7,3.8,1.7,0.3,Iris-setosa,3.35
020,5.1,3.8,1.5,0.3,Iris-setosa,3.4
021,5.4,3.4,1.7,0.2,Iris-setosa,3.18
022,5.1,3.7,1.5,0.4,Iris-setosa,3.4
023,4.6,3.6,1.0,0.2,Iris-setosa,4.6
024,5.1,3.3,1.7,0.5,Iris-setosa,3.0
025,4.8,3.4,1.9,0.2,Iris-setosa,2.53
026,5.0,3.0,1.6,0.2,Iris-setosa,3.12
027,5.0,3.4,1.6,0.4,Iris-setosa,3.12
028,5.2,3.5,1.5,0.2,Iris-setosa,3.47
029,5.2,3.4,1.4,0.2,Iris-setosa,3.71
030,4.7,3.2,1.6,0.2,Iris-setosa,2.94
031,4.8,3.1,1.6,0.2,Iris-setosa,3.0
032,5.4,3.4,1.5,0.4,Iris-setosa,3.6
033,5.2,4.1,1.5,0.1,Iris-setosa,3.47
034,5.5,4.2,1.4,0.2,Iris-setosa,3.93
035,4.9,3.1,1.5,0.1,Iris-setosa,3.27
036,5.0,3.2,1.2,0.2,Iris-setosa,4.17
037,5.5,3.5,1.3,0.2,Iris-setosa,4.23
038,4.9,3.1,1.5,0.1,Iris-setosa,3.27
039,4.4,3.0,1.3,0.2,Iris-setosa,3.38
040,5.1,3.4,1.5,0.2,Iris-setosa,3.4
041,5.0,3.5,1.3,0.3,Iris-setosa,3.85
042,4.5,2.3,1.3,0.3,Iris-setosa,3.46
043,4.4,3.2,1.3,0.2,Iris-setosa,3.38
